[    0.0s] === run started 20260723_040657 ===
[  157.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  157.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  158.2s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  158.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  159.2s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  159.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  160.7s] CAMERA/LIDAR DISAGREE - lidar=2.32 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  161.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  161.7s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  162.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  163.2s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  164.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  166.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  166.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  167.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  167.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  168.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  168.7s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  169.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  169.7s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  170.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
