t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
30.41,0.415,0,0.472,0.560,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.015
30.61,0.105,0,0.472,0.560,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.007
30.81,0.105,0,0.472,0.560,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.010,-0.007
31.01,0.417,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.000
31.21,0.417,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
31.41,0.416,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
31.61,0.417,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.003
31.81,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.005
32.01,0.416,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.008,-0.002
32.21,0.416,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.006
32.41,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.006
32.61,0.106,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.007
32.81,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,0.000
33.01,0.106,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.002
33.21,0.106,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.002
33.41,0.417,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.002
33.61,0.417,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,0.001
33.81,0.105,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.006
34.01,0.105,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.003
34.21,0.419,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.004
34.41,0.106,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.004
34.61,0.417,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.006
34.81,0.419,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.002
35.01,0.419,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.004
35.21,0.415,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.005
35.41,0.415,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.005
35.61,0.417,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,0.001
35.81,0.105,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.009
36.01,0.105,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.008
36.21,0.104,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.009
36.41,0.417,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.009
36.61,0.106,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.003
36.81,0.105,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,0.003,-0.006
37.01,0.105,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.004
37.21,0.417,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.008,-0.007
37.41,0.417,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.008,-0.007
37.61,0.417,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.007
37.81,0.106,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.010
38.01,0.106,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.010,-0.003
38.21,0.417,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.010,-0.003
38.41,0.106,0,0.473,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.008,-0.003
38.61,0.415,0,0.473,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.004
38.81,0.105,0,0.473,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.008
39.01,0.105,0,0.470,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.010
39.21,0.417,0,0.470,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.010
39.41,0.415,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.007
39.61,0.419,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.007
39.81,0.104,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.004
40.01,0.104,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.006
40.21,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.006
40.41,0.105,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.008
40.61,0.106,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.006
40.81,0.417,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.002
41.01,0.417,0,0.469,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.006
41.21,0.106,0,0.469,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.006
41.41,0.105,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.004
41.61,0.106,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.016
41.81,0.106,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.002
42.01,0.105,0,0.469,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.011,-0.001
42.21,0.415,0,0.469,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.011,-0.001
42.41,0.415,0,0.473,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.000
42.61,0.415,0,0.473,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.008,0.005
42.81,0.415,0,0.473,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.002
43.01,0.415,0,0.470,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.008,0.002
43.21,0.419,0,0.470,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.008,0.002
43.41,0.417,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,0.003,-0.005
43.61,0.106,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.002
43.81,0.106,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.001
44.01,0.417,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.003
44.21,0.105,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.003
44.41,0.417,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.002
44.61,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.001
44.81,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.009
45.01,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.017
45.21,0.417,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.017
45.41,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.010
45.61,0.105,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.002
45.81,0.105,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.015,-0.006
46.01,0.106,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.016
46.21,0.417,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.016
46.41,0.106,0,0.470,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.002
46.61,0.106,0,0.470,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.001
46.81,0.106,0,0.470,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.005
47.01,0.419,0,0.473,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.005
47.21,0.415,0,0.473,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.006
47.41,0.415,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.007
47.61,0.419,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.004
47.81,0.419,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.010
48.01,0.415,0,0.470,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.010
48.21,0.105,0,0.470,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.014,-0.010
48.41,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.012,-0.009
48.61,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.008,-0.009
48.81,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.002
49.01,0.415,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.002
49.21,0.105,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.009
